parent_uri,parent_label,child_uri,child_label,child_def
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/869fc2ce-478f-4420-8766-e1f02cec4fb2,aptitudes à la gestion,"Managing people, activities, resources, and organisation; developing objectives and strategies, organising work activities, allocating and controlling resources and leading, motivating, recruiting and supervising people and teams."
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/9b8bb484-dcba-49af-8ae0-cfe8b6e9ed45,travailler avec des machines et de l’équipement spécialisé,"Controlling, operating and monitoring vehicles, stationary and mobile machinery and precision instrumentation and equipment.
Excludes:
- Interacting with computers"
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/c73521be-c039-4e22-b037-3b01b3f6f9d9,assister et apporter des soins,"Providing assistance, nurturing, care, service and support to people, and ensuring compliance to rules, standards, guidelines or laws."
http://www.gamaizer.ai/cmo/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9,aptitudes,http://www.gamaizer.ai/cmo/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8,"communication, collaboration et créativité","Communicating, collaborating, liaising, and negotiating with other people, developing solutions to problems, creating plans or specifications for the design of objects and systems, composing text or music, performing to entertain an audience, and imparting knowledge to others.
Excludes:
- communication or interaction with animals"
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here."
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/01,éducation,
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/02,lettres et arts,
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/03,"sciences sociales, journalisme et information",
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/04,"commerce, administration et droit",
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/05,"sciences naturelles, mathématiques et statistiques",
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/06,technologies de l’information et de la communication (tic),
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/07,"ingénierie, industries de transformation et construction",
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/08,"agriculture, sylviculture et halieutique et sciences vétérinaires",
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/09,santé et protection sociales,
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/10,services,
http://www.gamaizer.ai/cmo/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22,connaissances,http://www.gamaizer.ai/cmo/skill/99,domaine inconnu,
http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,http://www.gamaizer.ai/cmo/skill/000,programmes et certifications génériques non définis,
http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,http://www.gamaizer.ai/cmo/skill/001,programmes et certifications de base,
http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,http://www.gamaizer.ai/cmo/skill/002,compétences en lecture et en calcul,
http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,http://www.gamaizer.ai/cmo/skill/003,compétences personnelles,
http://www.gamaizer.ai/cmo/skill/00,programmes et certifications génériques,http://www.gamaizer.ai/cmo/skill/009,programmes et certifications génériques non classé ailleurs,
http://www.gamaizer.ai/cmo/skill/ab877a24-335d-4676-b366-c5c06651481a,"communication, collaboration et créativité",http://www.gamaizer.ai/cmo/skill/e186976a-64f0-4052-a25b-297d19e1d0ec,penser de manière proactive,Prendre des initiatives pour arriver à des améliorations.
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,"L’échange et la transmission d’informations, d’idées, de concepts, de pensées et de sentiments par l’utilisation d’un système commun de mots, de signes et de règles sémiotiques sur un support."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/519e801b-3cc4-44d4-bcf1-32fdb9a77e51,développement personnel,Les techniques et les méthodes utilisées pour améliorer la prise de conscience et l’identité et pour développer les talents et le potentiel des êtres humains.
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/74e49482-75e8-4637-bdb1-fff868d02f7a,littérature scientifique,"Le moyen d’informer la communauté scientifique, y compris les chercheurs universitaires, des résultats de la recherche scientifique. Il s’agit de recueillir et de rassembler tous les résultats issus de la recherche scientifique dans différents domaines et à tout moment."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/a0cad388-3c4c-4786-b238-fc39f8c495af,affirmation de soi,"L’attitude consistant à se défendre soi-même et à se faire respecter sans nuire aux autres et sans agressivité, brutalité ni soumission."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/a5b0cd5c-e13a-4ab3-8d93-4d242adcfb01,principes du travail d'équipe,"La coopération entre les personnes, caractérisée par un engagement unifié pour atteindre un objectif donné, participant à parts égales, en maintenant une communication ouverte, en facilitant l’utilisation efficace d’idées, etc."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/a6e1e0a0-07f8-4c22-89cf-6ab3fe6a22e9,gestes des mains,"La signification des différents gestes des mains qui signifient ou supposent un acte. Par exemple, le fait de prêter serment en levant la main."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/b17f4305-741a-4a1c-8fe8-6f11cb3d5c0a,communication des entreprises,Le processus permettant une communication efficace sur le lieu de travail et avec des organismes externes afin d’atteindre les objectifs de l’organisation.
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/d5145a9a-602e-40bf-b3e1-f04cf9c3ef86,principes de leadership,"Ensemble de traits et de valeurs qui guident l’action d’un dirigeant avec ses employés et l’entreprise et fournissent des orientations tout au long de sa carrière. Ces principes constituent également un outil important pour l’auto-évaluation afin d’identifier les points forts et les points faibles, et de s’efforcer d’améliorer la situation."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/eab3bafa-eebb-47bf-85ce-e336c5019108,consolidation d'équipe,"Principe généralement combiné avec un type d’événement qui stimule l’effort d’équipe, habituellement pour accomplir certaines tâches ou effectuer une activité de loisir.  Cela peut s’appliquer à différents types d’équipes, souvent à une équipe de collègues ayant de bonnes relations en dehors du lieu de travail."
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/f6ac6241-adb2-4ce2-b35f-09832cbb11ea,analyse empirique,La méthode fondée sur des données probantes utilisée pour analyser et interpréter des informations dans le but de tirer des conclusions sur une question spécifique.
http://www.gamaizer.ai/cmo/skill/0031,compétences et développement personnels,http://www.gamaizer.ai/cmo/skill/fe30a4b0-1a99-4fc7-afff-b162b8c834ba,principes de communication,"L’ensemble des principes communément partagés en matière de communication, tels que l’écoute active, l’établissement de rapports, l’ajustement du registre et le respect de l’intervention des autres."
http://www.gamaizer.ai/cmo/skill/6e4f29f5-3904-4e1e-9c5f-c158c5e197bf,assister les visiteurs,http://www.gamaizer.ai/cmo/skill/38efd8de-d313-4aa5-abc0-cefa5ec64002,aider les visiteurs d'un parc d'attractions,"Assister les visiteurs à l’entrée ou à la sortie des attractions, des bateaux ou des remontées mécaniques."
http://www.gamaizer.ai/cmo/skill/6e4f29f5-3904-4e1e-9c5f-c158c5e197bf,assister les visiteurs,http://www.gamaizer.ai/cmo/skill/45e73e73-d73f-424c-9385-fae828aa6ed8,encadrer les visiteurs spéciaux,Servir de guide pour les visiteurs et les groupes spéciaux.
http://www.gamaizer.ai/cmo/skill/6e4f29f5-3904-4e1e-9c5f-c158c5e197bf,assister les visiteurs,http://www.gamaizer.ai/cmo/skill/95bf6eea-a8ed-4dc6-944a-af9aec872913,renseigner des visiteurs en forêt,"Répondre aux questions des campeurs, des randonneurs et des touristes. Leur fournir des instructions."
http://www.gamaizer.ai/cmo/skill/6e4f29f5-3904-4e1e-9c5f-c158c5e197bf,assister les visiteurs,http://www.gamaizer.ai/cmo/skill/a0c277a6-1ca6-4798-a5c9-cd199dbdff45,accompagner les visiteurs sur les sites d’intérêt,"Emmener les touristes sur les sites d’intérêt tels que les musées, les expositions, les parcs thématiques ou les galeries d’art."
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0110,éducation non définie,
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0111,sciences de l’éducation,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114)."
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0112,formation des enseignants au niveau préscolaire,"Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'."
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,"Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'."
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,"Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'."
http://www.gamaizer.ai/cmo/skill/011,éducation,http://www.gamaizer.ai/cmo/skill/0119,éducation non classée ailleurs,
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/135192cb-84e4-4b70-8946-fbe5041b26cd,analyse des besoins d'apprentissage,"Processus d’analyse des besoins d’apprentissage d’un étudiant par l’observation et par des tests, susceptibles d’être suivis d’un diagnostic de trouble d’apprentissage et d’un plan de soutien supplémentaire."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/2c093216-a54d-4106-99d8-aefb68efcc30,pédagogie Montessori,"La philosophie et les méthodes d’enseignement et de développement de Maria Montessori, médecin et pédagogue italienne. Ces principes impliquent des concepts d’apprentissage en travaillant sur un matériel pédagogique spécifique et en encourageant les élèves à apprendre de leurs propres découvertes. Il est également connu sous le nom de modèle éducatif constructiviste."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/731101d9-94bc-4805-bff4-9578d1bf03b5,difficultés d'apprentissage,"Les troubles de l’apprentissage auxquels certains élèves sont confrontés dans un contexte universitaire, en particulier les difficultés d’apprentissage spécifiques telles que la dyslexie, la dyscalculie et les troubles du déficit de concentration."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/74bb0643-a15f-48ea-b12c-d98bf49cb317,procédures des écoles primaires,"Le fonctionnement interne d’une école primaire, tel que la structure du soutien et de la gestion de l’enseignement correspondants, les politiques et les règlements."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/9cdec88a-fe17-4f9a-9247-1f1802ab7408,procédures des écoles postsecondaires,"Le fonctionnement interne d’une école postsecondaire, tels que la structure de l’accompagnement pédagogique correspondant et de la gestion de l’enseignement, les politiques et les règlements."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/b8df1689-6763-437d-bfca-fe03d43f36c3,apprentissage des langues assisté par ordinateur,"Une approche de l’enseignement et de l’apprentissage des langues faisant appel aux technologies de l’information et aux ressources informatiques pour renforcer, présenter, interagir et évaluer l’apprentissage de nouvelles langues."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/d52b5f6f-8f3e-4689-b7c8-23b25b2ebc77,pédagogie Freinet,"Les méthodes d’enseignement et de développement et la philosophie de Célestin Freinet, pédagogue français. Ces principes impliquent des concepts d’apprentissage par le suivi et l’erreur, en faisant appel aux intérêts en matière d’apprentissage et à la curiosité des enfants, et à l’apprentissage en fabriquant des produits et en fournissant des services tels que la technique du texte libre imprimé par les enfants."
http://www.gamaizer.ai/cmo/skill/0113,formation des enseignants sans spécialisation,http://www.gamaizer.ai/cmo/skill/ef1e63c9-f8c1-46ad-8c74-3cea311c9377,besoins éducatifs spéciaux,"Les méthodes d’enseignement, l’équipement et les cadres utilisés pour aider les élèves ayant des besoins spéciaux à réaliser leurs aspirations à l’école ou dans la communauté."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/3b86ca26-05f1-4051-82e9-9f2ba352778e,matériel pédagogique pour élèves ayant des besoins spéciaux,"Les supports utilisés par les éducateurs spécialisés pour former les étudiants ayant des besoins éducatifs particuliers dans leurs classes, plus précisément les outils tels que les équipements sensoriels et ceux destinés à stimuler leurs habiletés motrices."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/4f6e68b2-85c8-446e-a96d-b306ec7e0091,formation dans le domaine de spécialité,"Le sujet, le contenu et les méthodes de formation, acquis grâce à des recherches et des formations."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/60856bbb-e5db-4398-babb-300a24a7fe97,éducation des adultes,"Enseignement destiné aux étudiants adultes, à la fois dans un contexte récréatif et universitaire, à des fins de développement personnel ou pour mieux préparer les étudiants au marché du travail."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/78d90f00-5226-44fc-95c2-0d8dac6b081b,enseignement technologique,"La branche de l’enseignement qui vise à doter les étudiants des connaissances pertinentes sur la technologie, ses utilisations et ses applications."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/89a1fa04-5a83-4c56-9b25-48ef48cdbc69,méthodes d'enseignement des langues,"Les techniques utilisées pour enseigner aux élèves une langue étrangère, telles que l’approche audio-orale, l’enseignement des langues par l'approche communicative et l’immersion."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/99c90174-eb03-4221-b1b6-1ad8b7035e15,éducation sanitaire,Les facteurs affectant la santé et l’approche éducative pour aider les personnes à faire des choix de vie sains.
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/a0380e94-61dc-4dc4-b1f8-61d768fbc6db,sujet d’un coaching musical,"Les techniques utilisées pour guider les élèves dans différents domaines liés à la musique: voix, danse ou instruments de musique."
http://www.gamaizer.ai/cmo/skill/0114,formation des enseignants avec spécialisation,http://www.gamaizer.ai/cmo/skill/a4db52a8-d04d-435b-ba7d-f8e608753d46,matériel pédagogique de Montessori,"Le matériel spécifique utilisé par les enseignants Montessori dans leurs classes pour la formation des élèves, plus précisément le matériel de développement de plusieurs aptitudes constitué de matériel sensoriel, de matériel mathématique, de matériel linguistique et de matériel cosmique."
http://www.gamaizer.ai/cmo/skill/0188,programmes interdisciplinaires et certifications impliquant l'éducation,http://www.gamaizer.ai/cmo/skill/0e62eba3-d076-47e5-b22d-340a8faccb3b,technologies d’aide à l’enseignement,"Dispositifs et équipement numériques qui aident les apprenants qui rencontrent des difficultés d’apprentissage, de communication ou de mobilité à accéder aux ressources pédagogiques et à réaliser leur plein potentiel. Elles comprennent des logiciels tels que la synthèse vocale de texte et la reconnaissance de caractères optiques."
http://www.gamaizer.ai/cmo/skill/0188,programmes interdisciplinaires et certifications impliquant l'éducation,http://www.gamaizer.ai/cmo/skill/a4fe0844-8544-4a0a-a796-c1d3071598e2,validation des acquis de l’expérience bénévole,"Les processus et procédures pertinents pour les quatre phases de validation des acquis de l’expérience bénévole: identification, documentation, évaluation et certification de l’apprentissage non formel et informel."
http://www.gamaizer.ai/cmo/skill/0188,programmes interdisciplinaires et certifications impliquant l'éducation,http://www.gamaizer.ai/cmo/skill/c28553f4-1745-401a-82b3-7ce8460bed33,renforcement des capacités,"Le processus consistant à développer et renforcer les ressources humaines et institutionnelles par l’acquisition et le partage de nouvelles compétences, connaissances ou formations afin de renforcer les compétences des personnes et des communautés. Cela inclut le développement des ressources humaines, le développement organisationnel, le renforcement des structures de gestion et les changements et améliorations réglementaires."
http://www.gamaizer.ai/cmo/skill/0188,programmes interdisciplinaires et certifications impliquant l'éducation,http://www.gamaizer.ai/cmo/skill/c6c1af60-9594-460c-a328-00f9ad292be0,techniques d’accompagnement,"Les techniques fondamentales spécifiques utilisées pour accompagner les personnes sur le plan professionnel ou personnel, telles que les questions ouvertes, le renforcement de la confiance, la responsabilité, etc."
http://www.gamaizer.ai/cmo/skill/0188,programmes interdisciplinaires et certifications impliquant l'éducation,http://www.gamaizer.ai/cmo/skill/d6b31d8d-2f47-425a-a2b2-a6dddb3d2b19,types de badges numériques,"Les types de badges numériques et leurs caractéristiques, tels que les badges ouverts, qui stockent des informations sur les réalisations et les compétences des apprenants, facilitant ainsi la vérification et la reconnaissance de ces informations par de multiples parties concernées."
http://www.gamaizer.ai/cmo/skill/efda73b4-5212-40a7-b2f8-d2f754ffdf2b,suivre les tendances,http://www.gamaizer.ai/cmo/skill/7dfbe0f3-076f-4a19-9eaa-db4d6db704b6,se tenir informé des tendances informatiques,"Rester informé des évolutions et des tendances actuelles en matière de matériel informatique, de logiciels et de périphériques."
http://www.gamaizer.ai/cmo/skill/7ec00c15-c9bb-4b74-9b8b-681424e9ea2c,exploiter des machines d’emballage,http://www.gamaizer.ai/cmo/skill/28e8a23b-0db7-45da-83c7-4ec5a236fe00,utiliser une machine servant à emballer des viandes,"Utiliser une machine pour emballer des produits à base de viande sous atmosphère modifiée, prolongeant leur durée de conservation."
http://www.gamaizer.ai/cmo/skill/7ec00c15-c9bb-4b74-9b8b-681424e9ea2c,exploiter des machines d’emballage,http://www.gamaizer.ai/cmo/skill/31434d75-9e07-41e3-a67e-16b6d4ded679,utiliser une bouchonneuse,"Utiliser une bouchonneuse afin de garantir la conservation du produit, son caractère et les conditions idéales."
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/020,lettres et arts non définis,
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/021,arts,
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/022,lettres (à l’exception des langues),
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/023,langues,
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/028,programmes interdisciplinaires et certifications impliquant les arts et les lettres,
http://www.gamaizer.ai/cmo/skill/02,lettres et arts,http://www.gamaizer.ai/cmo/skill/029,arts et lettres non classés ailleurs,
http://www.gamaizer.ai/cmo/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,gérer des fournitures,http://www.gamaizer.ai/cmo/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,acheter des fournitures,Acheter et réapprovisionner les fournitures ; s’assurer que toutes les marchandises requises sont disponibles en stock.
http://www.gamaizer.ai/cmo/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,gérer des fournitures,http://www.gamaizer.ai/cmo/skill/210827e3-3129-45a2-8683-70399f3f561f,commander des fournitures,Commander des produits auprès des fournisseurs concernés pour obtenir des produits pratiques et rentables à acheter.
http://www.gamaizer.ai/cmo/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,gérer des fournitures,http://www.gamaizer.ai/cmo/skill/2ce49caf-8d84-4aa1-b0be-5d4d8de0532a,décharger des fournitures,Retirer les livraisons d’un camion et transférer les nouvelles fournitures dans le lieu de travail ou la zone de stockage.
http://www.gamaizer.ai/cmo/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,gérer des fournitures,http://www.gamaizer.ai/cmo/skill/91324cff-50d9-4a65-81da-2985b6751180,superviser les fournitures de cuisine,Contrôle des stocks pour les fournitures utilisées dans la cuisine. Faire rapport à la personne compétente.
